Study,Outcome,Data type,Effect measure,Arm,Reference arm,Sample size,Cases,Mean,SD,SE,Variance,CI level,CI start,CI end,Exp mean,Exp CI start,Exp CI end,t-test,z-test,P value,Covariance method,Covariance,Other arm 1,Other arm 2,Correlation arm 1,Correlation arm 2,Correlation,Other mean,Other SE,Other variance,Other CI level,Other CI start,Other CI end,Other exp mean,Other exp CI start,Other exp CI end,Other t-test,Other z-test,Other P value,Footnotes
Pichler 2023,Cystic periventricular leukomalacia (diagnosed by cranial ultrasound) <28 weeks age,Arm level,,Intervention,,110,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Cystic periventricular leukomalacia (diagnosed by cranial ultrasound) prior to discharge,Arm level,,Control,,303,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Cystic periventricular leukomalacia (diagnosed by cranial ultrasound) prior to discharge,Arm level,,Intervention,,304,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Intraventricular haemorrhage grade III or IV <28 weeks age,Arm level,,Control,,118,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Intraventricular haemorrhage grade III or IV <28 weeks age,Arm level,,Intervention,,110,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Intraventricular haemorrhage grade III or IV prior to discharge,Arm level,,Control,,303,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Intraventricular haemorrhage grade III or IV prior to discharge,Arm level,,Intervention,,304,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Major brain injury diagnosed by brain ultrasound or MRI prior to discharge,Arm level,,Control,,303,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Major brain injury diagnosed by brain ultrasound or MRI prior to discharge,Arm level,,Intervention,,304,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Major brain injury diagnosed by brain ultrasound or MRI subgroup <28 weeks age,Arm level,,Control,,118,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Major brain injury diagnosed by brain ultrasound or MRI subgroup <28 weeks age,Arm level,,Intervention,,110,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Proven necrotising enterocolitis (Bell's stage II or III) <28 weeks age,Arm level,,Control,,118,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Proven necrotising enterocolitis (Bell's stage II or III) <28 weeks age,Arm level,,Intervention,,110,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Proven necrotising enterocolitis (Bell's stage II or III) prior to discharge,Arm level,,Control,,303,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Proven necrotising enterocolitis (Bell's stage II or III) prior to discharge,Arm level,,Intervention,,304,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,"Retinopathy of prematurity, any or severe (stage ≥ III) <28 weeks age",Arm level,,Control,,118,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,"Retinopathy of prematurity, any or severe (stage ≥ III) <28 weeks age",Arm level,,Intervention,,110,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Retinopathy of prematurity severe (stage equal or above III) any time point,Arm level,,Control,,303,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Retinopathy of prematurity severe (stage equal or above III) any time point,Arm level,,Intervention,,304,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Severe adverse reactions as reported by study authors <28weeks gestational  age,Arm level,,Control,,118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Severe adverse reactions as reported by study authors <28weeks gestational  age,Arm level,,Intervention,,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Severe adverse reactions as reported by study authors prior to discharge,Arm level,,Control,,303,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pichler 2023,Severe adverse reactions as reported by study authors prior to discharge,Arm level,,Intervention,,304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
