Study,Outcome,Data type,Effect measure,Arm,Reference arm,Sample size,Cases,Mean,SD,SE,Variance,CI level,CI start,CI end,Exp mean,Exp CI start,Exp CI end,t-test,z-test,P value,Covariance method,Covariance,Other arm 1,Other arm 2,Correlation arm 1,Correlation arm 2,Correlation,Other mean,Other SE,Other variance,Other CI level,Other CI start,Other CI end,Other exp mean,Other exp CI start,Other exp CI end,Other t-test,Other z-test,Other P value,Footnotes
Powers 1983,Patients’ satisfaction,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,8,,2.16,2.02,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powers 1983,Patients’ satisfaction,Arm level,,Usual care,,8,,2.96,3.3,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powers 1983,Patients’ satisfaction End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,8,,8.8,1.52,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Powers 1983,Patients’ satisfaction End of study,Arm level,,Usual care,,8,,5.43,3.94,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmany 2018,Patients’ satisfaction End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmany 2018,Patients’ satisfaction End of study,Arm level,,Usual care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmany 2018,Utilisation frequency of healthcare services: admissions_dichotomous End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,166,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmany 2018,Utilisation frequency of healthcare services: admissions_dichotomous End of study,Arm level,,Usual care,,166,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,"Laboratory values: HbA1c, glycosylated hemoglobin",Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,50,,7.84,1.17,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,"Laboratory values: HbA1c, glycosylated hemoglobin",Arm level,,Usual care,,50,,8.16,1.66,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,40,,6.96,1.44,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,"Laboratory values: HbA1c, glycosylated hemoglobin End of study",Arm level,,Usual care,,44,,7.26,1.85,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,Laboratory values: LDL cholesterol,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,50,,94.7,31.1,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,Laboratory values: LDL cholesterol,Arm level,,Usual care,,50,,87,29.4,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,Laboratory values: LDL cholesterol End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,40,,82.4,30.8,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,Laboratory values: LDL cholesterol End of study,Arm level,,Usual care,,44,,83.8,37.8,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,Medication adherence,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,48,,5.8,1.78,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,Medication adherence,Arm level,,Usual care,,49,,6.06,1.52,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,Medication adherence 3 months,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,47,,7.22,1.29,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,Medication adherence 3 months,Arm level,,Usual care,,49,,6.42,1.52,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,Medication adherence 9 months,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,46,,7.19,1.26,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,Medication adherence 9 months,Arm level,,Usual care,,48,,5.92,1.64,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,Medication adherence End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,46,,7.19,1.26,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarayani 2018,Medication adherence End of study,Arm level,,Usual care,,48,,5.92,1.64,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scala 2018,Clinical measurements: diastolic blood pressure,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,84,,91.7,3.3,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scala 2018,Clinical measurements: diastolic blood pressure,Arm level,,Usual care,,80,,90.6,5.4,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scala 2018,Clinical measurements: diastolic blood pressure End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,84,,86,7.3,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scala 2018,Clinical measurements: diastolic blood pressure End of study,Arm level,,Usual care,,80,,90.6,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scala 2018,Clinical measurements: systolic blood pressure,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,84,,149.9,10.3,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scala 2018,Clinical measurements: systolic blood pressure,Arm level,,Usual care,,80,,149.6,10,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scala 2018,Clinical measurements: systolic blood pressure End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,84,,135.5,12.3,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scala 2018,Clinical measurements: systolic blood pressure End of study,Arm level,,Usual care,,80,,147.9,17.5,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Clinical measurements: asthma control,Arm level,,Smart mobile devices (synchronous),,45,,15.8,1.47,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Clinical measurements: asthma control,Arm level,,Usual care,,45,,16.31,1.44,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Clinical measurements: asthma control End of study,Arm level,,Smart mobile devices (synchronous),,42,,19.79,1.704,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Clinical measurements: asthma control End of study,Arm level,,Usual care,,42,,18.86,1.661,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Patients’ quality of life,Arm level,,Smart mobile devices (synchronous),,45,,3.77,0.592,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Patients’ quality of life,Arm level,,Usual care,,45,,3.785,0.7192,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Patients’ quality of life End of study,Arm level,,Smart mobile devices (synchronous),,42,,4.45,0.35,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Patients’ quality of life End of study,Arm level,,Usual care,,42,,3.76,0.62,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Utilisation frequency of healthcare services: emergency department visits,Arm level,,Smart mobile devices (synchronous),,41,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Utilisation frequency of healthcare services: emergency department visits,Arm level,,Usual care,,40,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Utilisation frequency of healthcare services: emergency department visits End of study,Arm level,,Smart mobile devices (synchronous),,42,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Utilisation frequency of healthcare services: emergency department visits End of study,Arm level,,Usual care,,42,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Worsening of NCDs,Arm level,,Smart mobile devices (synchronous),,37,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Worsening of NCDs,Arm level,,Usual care,,38,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Worsening of NCDs End of study,Arm level,,Smart mobile devices (synchronous),,42,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shdaifat 2022,Worsening of NCDs End of study,Arm level,,Usual care,,42,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudas Na Ayutthaya 2018,Clinical measurements: thromboembolic events End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudas Na Ayutthaya 2018,Clinical measurements: thromboembolic events End of study,Arm level,,Usual care,,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudas Na Ayutthaya 2018,Drug-related problems_dichotomous End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudas Na Ayutthaya 2018,Drug-related problems_dichotomous End of study,Arm level,,Usual care,,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudas Na Ayutthaya 2018,Laboratory values: INR values in range End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,79,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudas Na Ayutthaya 2018,Laboratory values: INR values in range End of study,Arm level,,Usual care,,79,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudas Na Ayutthaya 2018,Utilisation frequency of healthcare services: admissions_dichotomous End of study,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudas Na Ayutthaya 2018,Utilisation frequency of healthcare services: admissions_dichotomous End of study,Arm level,,Usual care,,25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Young 2012,Clinical measurements: asthma control,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,49,,17.1,4.5,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Young 2012,Clinical measurements: asthma control,Arm level,,Usual care,,49,,17.7,4.2,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Young 2012,Medication adherence,Arm level,,"Telephone (synchronous, fixed line phones or mobile devices)",,49,,6.4,6,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Young 2012,Medication adherence,Arm level,,Usual care,,49,,5.9,5,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
