Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding (performance bias and detection bias): participants,Domain (support): Blinding (performance bias and detection bias): participants,Domain (judgement): Blinding (performance bias and detection bias): those delivering intervention,Domain (support): Blinding (performance bias and detection bias): those delivering intervention,Domain (judgement): Blinding (performance bias and detection bias): outcome assessors,Domain (support): Blinding (performance bias and detection bias): outcome assessors,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Epstein 1986,Unclear risk,<p>Information not available</p>,High risk,<p>Assessed by Lawlor and Hopker for <i>BMJ</i> review</p>,High risk,<p>Information not available</p>,High risk,<p>Information not available</p>,High risk,<p>BDI: self report</p>,Unclear risk,<p>Information not available</p>,Unclear risk,"<p>From the information available, it appears that all prespecified outcomes were reported</p>",Unclear risk,<p>Unclear</p>
Fetsch 1979,Unclear risk,<p>Method not described</p>,Unclear risk,<p>Method not described</p>,High risk,"<p>Not blind to treatment allocation, but unclear effect on bias</p>",High risk,"<p>Not blind, but unclear risk on bias</p>",High risk,<p>BDI; self report</p>,High risk,<p>Only included the scores for the 16 people who completed 2 or more sessions</p>,Unclear risk,"<p>It appears from the information available that all prespecified outcomes were reported, but no protocol</p>",Unclear risk,<p>Unclear</p>
Foley 2008,Unclear risk,<p>Not described</p>,Unclear risk,<p>Unclear</p>,High risk,"<p>Participants were not blind to treatment allocation, but it is unclear what effect this has had on bias.</p>",High risk,"<p>Those delivering intervention were not blind, but it is unclear what effect this had on bias</p>",High risk,<p>Self report BDI</p>,High risk,<p>10/23 dropped out (2/10 in exercise arm and 8/13 in stretching)</p>,Unclear risk,"<p>From the study report, it appears that all prespecified outcome measures have been reported; no protocol</p>",Unclear risk,<p>Unclear</p>
Fremont 1987,Unclear risk,<p>No information available</p>,High risk,<p>Inadequate (as assessed by Lawlor and Hopker in the 2001 <i>BMJ</i> review)</p>,High risk,<p>Not stated</p>,High risk,<p>Not stated</p>,High risk,<p>Self report BDI</p>,High risk,<p>Categorised as not intention-to-treat for the <i>BMJ</i> review (Lawlor and Hopkins). Data on drop-outs not available to lead author</p>,Unclear risk,"<p>Protocol not available for scrutiny. From the study report, it appears that all prespecified outcome measures have been reported<b> </b></p>",Unclear risk,<p>Unclear</p>
Gary 2010,Unclear risk,"<p>Reported as randomised, but no details given</p>",Unclear risk,<p>No details given</p>,High risk,<p>Participants were not blinded to treatment allocation; unclear effect on bias</p>,High risk,<p>Those delivering treatment were not blinded; unclear effect on bias</p>,Low risk,"<p>""Data collectors were blind to group assessment""</p>",High risk,"<p>68/74 provided outcome data post-intervention. Classified as high risk, as more than 5% did not provide outcome data</p>",Low risk,<p>All prespecified outcomes were reported.</p>,Low risk,<p>No other source of bias identified</p>
Greist 1979,Unclear risk,<p>No information in report</p>,High risk,<p>Categorised in <i>BMJ</i> review (Lawlor and Hopker) as inadequate</p>,High risk,<p>Not blinded to treatment allocation</p>,High risk,"<p>Those delivering exercise not blinded, effect on bias unclear</p>",High risk,<p>Self report symptom checklist score</p>,High risk,<p>6/28 dropped out (2/10 in the running group and 4/18 in the psychological groups)</p>,High risk,"<p>Outcome measures were not prespecified. There was no methods section in the paper; after an introduction, the entry criteria were stated and the interventions were described. The first time the outcome measures were described was in the results section.</p>",High risk,"<p>The authors conclude the paper by saying that ""our bias (and we purposely label it as bias that requires additional evaluation) is that running may prove to have antidepressant properties for many individuals with moderate depression"". It is possible that this author bias was present before the trial was completed, and so may have influenced results.</p>"
Haller 2018,Low risk,"<p>For randomization, numbers between 0 and 1 were randomly computer generated and used for assignment to either the control group (values ≤.3) or intervention group (IG; values of &gt;.3).&nbsp;</p>",Unclear risk,<p>Not described</p>,High risk,<p>Not stated</p>,High risk,<p>Not described but unlikely</p>,Unclear risk,<p>States that depressive symptoms were assessed by a blinded psychiatrist at baseline but doesn't clearly state whether the clinican was blinded at follow-up</p>,High risk,"<p>3 participants dropped out of intervention groups, no intention to treat analysis</p>",High risk,"<p>Although all outcomes identified in the protocol are reported in the study, only before and after data was used to demomstrate benefit rather than versus the contriol intervention</p>",High risk,"<p>Unequal numbers in the groups. 14 in the exercise group 6 in the control group, which resulted in some differences between the groups at baseline.</p>"
Heinzel 2022,Low risk,"<p>e allocation by a computer program (MATLAB, The Mathworks Inc., Natick, USA) that was applied by a researcher that was not involved in the study.""</p>",Unclear risk,"<p>It states a researcher not involved in the study generated the randomised allocation sequences and that participants were blinded to their allocation to High or low exercise groups, though this could not be done for participants in respect to allocation to an exercise group or wait list. Doesn't describe the method of allocation concealment.&nbsp;</p>",High risk,"<p>Participants were blinded to allocation of high or low intensity exercise (interventions), but uncertain regarding other aspects of the study (e.g. wait list control)</p>",High risk,<p>Exercise instructors were unblinded todeliver the interventions&nbsp;</p>,Unclear risk,"<p>Not stated as to whether outcome assessors were blinded to allocation, though seems likely.</p>",High risk,"<p>High number of drop-outs particularly in high intensity group - dropped out (23/45 HEX group; 15/45 LEX group; 7/30 WL group). ITT conducted with missing outcome data imputed using the ""standard multiple imputation method"". Also states: ""Analyses of primary clinical outcomes (HAMD and BDI-2) in the ITT sample revealed similar results as the analyses of the completer sample."" However, states in limitations section: ""the dropout rate was relatively high and follow-up data at t2 and t3 could be obtained only in a minority of dropouts; thus, there is a relatively high degree of uncertainty in the estimation of effects using multiple imputations in the ITT analyses""</p>",Low risk,<p>All outcomes reported as in protocol: https://trialsearch.who.int/Trial2.aspx?TrialID=DRKS00008869&nbsp;</p>,Unclear risk,<p>No other sources of bias identified</p>
Heissel 2015,Unclear risk,<p>Not stated if randomised</p>,Unclear risk,<p>Not stated if allocation was concealed</p>,High risk,<p>Not stated if blinded participants</p>,High risk,<p>Not stated if blinded those delivering the intervention</p>,Unclear risk,<p>Not stated if blinded those assessing outcome</p>,High risk,"<p>Those who dropped out were not included in data analysis. This is a feasibility study so if attrition is not being assessed and incorporated into data analysis, it is not a true representation.</p>",Unclear risk,<p>Not reported</p>,Unclear risk,<p>Unclear</p>
Hemat-Far 2012,High risk,"<p>Clinician judgement used at recruitment. After reviewing questionnaires psychiatrists ""selected"" 20 women</p>",Unclear risk,<p>No information given</p>,High risk,<p>Participants not blinded to intervention; unclear effect on bias</p>,High risk,<p>No information given</p>,High risk,<p>Self report BDI</p>,Unclear risk,<p>No discussion on attrition rate</p>,Low risk,<p>BDI specified at outset and completed in results</p>,High risk,<p>The control group were told not to do so much exercise.</p>
