Study,Year,Data source,ID: CRS,Char: Reason for exclusion
Schoen 2017,2017,PUB,26536294,<p>Cannot separate term and preterm labour data</p>
Schreyer 1989,1989,PUB,26536301,<p>Not a randomised controlled trial</p>
Sciscione 2001,2001,PUB,26536303,<p>Cannot separate term and preterm labour data</p>
Secher 1981,1981,PUB,26536306,<p>Unclear gestational age</p>
Seeras 1995,1995,PUB,26536308,<p>Dose comparison trial</p>
Sellers 1985,1985,PUB,26536310,<p>Not a randomised controlled trial</p>
Sellers 1988,1988,PUB,26536312,<p>Ineligible intervention</p>
Shabana 2015,2015,PUB,26536314,<p>Ineligible intervention</p>
Shanmugham 2011,2011,PUB,26536316,<p>Ineligible intervention</p>
Sharami 2014,2014,PUB,26536318,<p>Cannot separate term and preterm labour data</p>
Sherman 1993,1993,PUB,26536321,<p>Ineligible intervention</p>
Shetty 2002a,2002,PUB,26536323,<p>Cannot separate term and preterm labour data</p>
Shetty 2003,2003,PUB,26536325,<p>Ineligible intervention</p>
Shoaib 1994,1994,PUB,26536327,<p>Not a randomised controlled trial</p>
Sitthiwattanawong 1999,1999,PUB,26536329,<p>Cannot separate term and preterm labour data</p>
Smith 1990,1990,PUB,26536332,<p>Unclear gestational age</p>
Soni 2000,2000,PUB,26536334,<p>Ineligible intervention</p>
Sorensen 2008,2008,PUB,26536336,<p>Not a randomised controlled trial</p>
Souizi 2018,2018,PUB,26536338,<p>Not a randomised controlled trial</p>
Sparks 2011,2011,PUB,26536341,<p>Comparison between the same type of induction of labour method</p>
Srisomboon 1996,1996,PUB,26536343,<p>Cannot separate term and preterm labour data</p>
Stampe Sorensen 1992,1992,PUB,26536345,<p>Cannot separate term and preterm labour data</p>
Suikkari 1983,1983,PUB,26536349,<p>Not a randomised controlled trial</p>
Sultana 2006,2006,PUB,26536351,<p>Ineligible intervention</p>
Tabor 1995,1995,PUB,26536353,<p>Ineligible intervention</p>
Tamsen 1990,1990,PUB,26536355,<p>Cannot separate term and preterm labour data</p>
Tan 2009,2009,PUB,26536357,<p>Ineligible intervention</p>
Tey 1995,1995,PUB,26536359,<p>Ineligible intervention</p>
Thigpen 2004,2004,PUB,26536361,<p>Ineligible intervention</p>
Thompson 1987,1987,PUB,26536363,<p>Unclear gestational age</p>
Tomlinson 2001,2001,PUB,26536365,<p>Cannot separate term and preterm labour data</p>
Trujillo 1991,1991,PUB,26536368,<p>Not a randomised controlled trial</p>
Tsitsis 2012,2012,PUB,26536370,<p>Not a randomised controlled trial</p>
Tsitsis 2012a,2012,PUB,26536372,<p>Not a randomised controlled trial</p>
Turnquest 1997,1997,PUB,26536374,<p>Ineligible intervention</p>
Valiani 2018,2018,PUB,26536376,<p>Induction of labour among preterm labour</p>
Valiani 2020,2020,PUB,26536378,<p>Ineligible intervention</p>
Van 1992,1992,PUB,26536380,<p>Ineligible intervention</p>
van Gemund 2004,2004,PUB,26536382,<p>Cannot separate term and preterm labour data</p>
Varma 1981,1981,PUB,26536384,<p>Not a randomised controlled trial</p>
Velasco 2013,2013,PUB,26536386,<p>Ineligible intervention</p>
Vengalil 1998,1998,PUB,26536388,<p>Unclear gestational age</p>
Viegas 1986,1986,PUB,26536390,<p>Not a randomised controlled trial</p>
Viteri 2021,2021,PUB,26536392,<p>Cannot separate term and preterm labour data</p>
Wagner 1989,1989,PUB,26536396,<p>Not a randomised controlled trial</p>
Walker 2016,2016,PUB,26536399,<p>Method of induction of labour vs expectant management at different gestational age</p>
Wallstrom 2019a,2019,PUB,26536406,<p>Publication of an Erratum</p>
Wang 1997,1997,PUB,26536408,<p>Unclear gestational age</p>
Wang 1998,1998,PUB,26536410,<p>Unclear gestational age</p>
Wang 2016,2016,PUB,26536412,<p>Cannot separate term and preterm labour data</p>
Wang 2021,2021,PUB,26536414,<p>Cannot separate term and preterm labour data</p>
Wasalthilaka 2015,2015,PUB,26536416,<p>Ineligible intervention</p>
Wennerholm 2019,2019,PUB,26536419,<p>Method of induction of labour vs expectant management at different gestational age</p>
Wicker 1995,1995,PUB,26536426,<p>Ineligible intervention</p>
Wilk 2001,2001,PUB,26536428,<p>Not a randomised controlled trial</p>
Williams 1985,1985,PUB,26536430,<p>Unclear gestational age</p>
Wilson 1978,1978,PUB,26536432,<p>Unclear gestational age</p>
Windrim 1997,1997,PUB,26536434,<p>Ineligible intervention</p>
Wing 1997,1997,PUB,26536436,<p>Unclear gestational age</p>
Wing 1998,1998,PUB,26536439,<p>Cannot separate term and preterm labour data</p>
Wing 1999,1999,PUB,26536442,<p>Unclear gestational age</p>
Wing 2000,2000,PUB,26536445,<p>Ineligible intervention</p>
Wing 2008,2008,PUB,26536447,<p>Cannot separate term and preterm labour data</p>
Wing 2013,2013,PUB,26536454,<p>Cannot separate term and preterm labour data</p>
Wise 2022,2022,PUB,26536461,<p>Ineligible intervention. Women in the prostaglandin group recieved either a PGE2 gel (Prostin) or controlled-release pessary (Cervidil).</p>
Yenuberi 2014,2014,PUB,26536465,<p>Ineligible intervention</p>
Yetkin Yildirim 2018,2018,PUB,26536467,<p>Cannot separate term and preterm labour data</p>
Yuen 1996,1996,PUB,26536470,<p>Unclear gestational age</p>
Zahran 2009,2009,PUB,26536473,<p>Cannot separate term and preterm labour data</p>
Zaki 2017,2017,PUB,26536475,<p>Not a randomised controlled trial</p>
Zeteroglu 2006,2006,PUB,26536477,<p>Cannot separate term and preterm labour data</p>
Zeteroglu 2006a,2006,PUB,26536480,<p>Cannot separate term and preterm labour data</p>
Zimmer 1996,1996,PUB,26536482,<p>Not a randomised controlled trial</p>
Zvandasara 2008,2008,PUB,26536484,<p>Unclear gestational age</p>
